Initial positions: (31, 50, 50), Number of turns: None
Initial positions: (23, 9, 44), Number of turns: 260.0
Initial positions: (26, 13, 52), Number of turns: 219.31712199461307
Initial positions: (28, 5, 54), Number of turns: 276.24135986488335
Initial positions: (26, 11, 52), Number of turns: None
Initial positions: (25, 29, 56), Number of turns: None
Initial positions: (29, 19, 58), Number of turns: 291.20439557122074
Initial positions: (21, 15, 48), Number of turns: 272.9468812791236
Initial positions: (30, 13, 49), Number of turns: 241.8677324489565
Initial positions: (27, 17, 52), Number of turns: 264.0075756488817
Initial positions: (30, 13, 47), Number of turns: 272.02941017470886
Initial positions: (23, 10, 55), Number of turns: 280.0
Initial positions: (28, 21, 49), Number of turns: 281.9767524105489
Initial positions: (26, 47, 53), Number of turns: 282.842712474619
Initial positions: (31, 12, 50), Number of turns: None
Initial positions: (33, 16, 54), Number of turns: 247.38633753705963
Initial positions: (35, 16, 57), Number of turns: 280.07943319708426
Initial positions: (33, 14, 59), Number of turns: 280.713376952364
Initial positions: (29, 15, 55), Number of turns: 246.66351351588258
Initial positions: (30, 15, 52), Number of turns: 243.3105012119288
Initial positions: (29, 12, 51), Number of turns: None
Initial positions: (30, 9, 52), Number of turns: 252.98221281347034
Initial positions: (31, 8, 55), Number of turns: 269.65327533705204
Initial positions: (29, 6, 52), Number of turns: 253.17977802344325
Initial positions: (37, 13, 56), Number of turns: 284.42925306655786
Initial positions: (34, 11, 61), Number of turns: None
Initial positions: (27, 15, 53), Number of turns: 252.98221281347034
Initial positions: (30, 15, 53), Number of turns: 215.40659228538019
Initial positions: (31, 17, 53), Number of turns: 286.35642126552705
Initial positions: (29, 14, 53), Number of turns: 230.1723026343526
Initial positions: (28, 14, 51), Number of turns: 253.32999999999998
Initial positions: (25, 19, 51), Number of turns: None
Initial positions: (33, 10, 49), Number of turns: 247.38633753705963
Initial positions: (32, 12, 54), Number of turns: None
Initial positions: (24, 13, 52), Number of turns: None
Initial positions: (30, 14, 53), Number of turns: 254.31887248098596
Initial positions: (26, 17, 56), Number of turns: 290.68883707497264
Initial positions: (28, 16, 51), Number of turns: 280.178514522438
Initial positions: (31, 9, 49), Number of turns: 305.28675044947494
Initial positions: (27, 11, 54), Number of turns: None
Initial positions: (35, 15, 47), Number of turns: 271.3106870360989
Initial positions: (32, 20, 55), Number of turns: 260.08554150509786
Initial positions: (29, 12, 50), Number of turns: None
Initial positions: (30, 18, 57), Number of turns: 315.75306807693886
Initial positions: (28, 13, 52), Number of turns: 271.3766550387118
Initial positions: (34, 14, 53), Number of turns: 280.713376952364
Initial positions: (26, 17, 50), Number of turns: 280.0
Initial positions: (31, 10, 53), Number of turns: 240.83189157584593
Initial positions: (32, 7, 54), Number of turns: 261.3642839027552
Initial positions: (28, 10, 56), Number of turns: 277.4514171886675
Initial positions: (31, 11, 48), Number of turns: None
Initial positions: (33, 9, 55), Number of turns: 269.65327533705204
Initial positions: (36, 13, 53), Number of turns: 297.6234011296827
Initial positions: (29, 15, 52), Number of turns: 236.45652644830932
Initial positions: (29, 16, 51), Number of turns: 291.547594742265
